,text,emotion,X,y,NaiveBayes,SVM
0,Dutch  researchers teach selfdrivingcars to predict pedestrian behavior writes  ,neutral,"  (0, 1045)	0.393092789984
  (0, 2853)	0.316225704558
  (0, 3420)	0.35175492014
  (0, 3078)	0.054944774643
  (0, 2598)	0.401987872973
  (0, 2485)	0.363520706627
  (0, 332)	0.412874574701
  (0, 3904)	0.393092789984",neutral,neutral,neutral
2,RT  Training AI for selfdrivingcars is an immense undertaking Plan for scale New NVIDIA developer blog post ,neutral,"  (0, 3078)	0.0548373698393
  (0, 2959)	0.149771339689
  (0, 3563)	0.392324381082
  (0, 70)	0.165403166882
  (0, 2534)	0.315607553697
  (0, 3006)	0.412067496814
  (0, 2309)	0.209751598799
  (0, 2349)	0.305079106813
  (0, 905)	0.426075460351
  (0, 380)	0.333699917626
  (0, 2582)	0.306450817653",neutral,neutral,neutral
4,Autonomous cars work better as a pair than solo new research autonomousdriving selfdrivingcars transport ,positive,"  (0, 3078)	0.0668190199887
  (0, 2309)	0.255581117655
  (0, 252)	0.228279626168
  (0, 509)	0.160792829515
  (0, 3884)	0.34344049421
  (0, 350)	0.345522516581
  (0, 3228)	0.488862424024
  (0, 2851)	0.331441467595
  (0, 256)	0.341429062625
  (0, 3574)	0.386648012697",positive,positive,positive
6,RT SpirosMargaris To Survive the StreetsSelfDrivingCars Have to Start Thinking Like Humans fintech EricAda,positive,"  (0, 2959)	0.215115488552
  (0, 3382)	0.386851521569
  (0, 3338)	0.397943834866
  (0, 3291)	0.378098023693
  (0, 3499)	0.388741817872
  (0, 2021)	0.324468117332
  (0, 1661)	0.340265387594
  (0, 1314)	0.361349583499",positive,neutral,neutral
8,The human perspective on moral decisions made by selfdrivingcars MoralMachine MachineIntelligence crowdsourcing ,positive,"  (0, 3078)	0.0599300393645
  (0, 1657)	0.279044694128
  (0, 2507)	0.465644489988
  (0, 2232)	0.376564637345
  (0, 839)	0.428758995386
  (0, 2092)	0.438461149542
  (0, 766)	0.428758995386",positive,positive,positive
10,RT  Curious about how congress approaches selfdrivingcars safety Check out my piece on the automatedvehicles bills httpstc,neutral,"  (0, 3078)	0.0531904244066
  (0, 2959)	0.145273216884
  (0, 779)	0.351913731409
  (0, 682)	0.413279021801
  (0, 2980)	0.240248568059
  (0, 564)	0.304527653077
  (0, 2525)	0.337265077133
  (0, 231)	0.34780417369
  (0, 366)	0.38915266663
  (0, 1650)	0.380541597745",neutral,positive,positive
12,Its like a piece of  carry on luggage Stackable selfdrivingcars AutonomousVehicles ,positive,"  (0, 3078)	0.0629977216863
  (0, 2021)	0.259523858261
  (0, 2525)	0.399450308975
  (0, 508)	0.489479771682
  (0, 2079)	0.489479771682
  (0, 3277)	0.489479771682
  (0, 264)	0.224380846014",positive,positive,positive
14,Can LeBron James make us less afraid of selfdriving carslebronjames selfdrivingcars future redits to ,positive,"  (0, 3078)	0.0561488874276
  (0, 1987)	0.436265691244
